time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1979-03-30T17:10:25.800Z,-56.171,-27.254,132,5.5,mb,,,,,us,usp0000zs2,2016-11-09T22:11:44.421Z,"South Sandwich Islands region",earthquake,,,,,reviewed,us,us
1979-03-30T16:20:19.100Z,-5.39,151.681,69,5.4,mb,,,,,us,usp0000zs1,2016-11-09T22:11:44.924Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1979-03-30T15:56:20.700Z,47.948,23.657,33,4.9,mb,,,,,us,usp0000zs0,2014-11-06T23:21:59.269Z,"Romania",earthquake,,,,,reviewed,us,us
1979-03-30T14:50:17.100Z,-10.6,165.924,159,4.9,mb,,,,,us,usp0000zry,2014-11-06T23:21:59.266Z,"Santa Cruz Islands",earthquake,,,,,reviewed,us,us
1979-03-30T13:46:09.200Z,-7.831,131.041,33,5.2,mb,,,,,us,usp0000zrx,2014-11-06T23:21:59.265Z,"Kepulauan Tanimbar, Indonesia",earthquake,,,,,reviewed,us,us
1979-03-30T09:06:40.700Z,20.646,-158.816,19,4.7,mb,,,,,us,usp0000zrs,2014-11-06T23:21:59.257Z,"Oahu region, Hawaii",earthquake,,,,,reviewed,us,us
1979-03-30T09:05:51.900Z,-18.452,-175.312,178,4.9,mb,,,,,us,usp0000zrr,2014-11-06T23:21:59.257Z,"Tonga",earthquake,,,,,reviewed,us,us
1979-03-29T15:56:50.100Z,-5.638,146.295,71,4.8,mb,,,,,us,usp0000zrd,2014-11-06T23:21:59.246Z,"eastern New Guinea region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1979-03-29T14:49:56.200Z,-17.535,176.23,11,5,mb,,,,,us,usp0000zrc,2014-11-06T23:21:59.245Z,"Fiji region",earthquake,,,,,reviewed,us,us
1979-03-29T11:40:59.100Z,-25.424,-175.458,35,5,mb,,,,,us,usp0000zra,2014-11-06T23:21:59.243Z,"south of Tonga",earthquake,,,,,reviewed,us,us
1979-03-29T11:18:38.700Z,-17.989,-178.436,594,4.7,mb,,,,,us,usp0000zr9,2014-11-06T23:21:59.241Z,"Fiji region",earthquake,,,,,reviewed,us,us
1979-03-29T10:05:10.100Z,14.396,53.575,10,4.8,mb,,,,,us,usp0000zr8,2014-11-06T23:21:59.241Z,"Owen Fracture Zone region",earthquake,,,,,reviewed,us,us
1979-03-29T09:43:44.500Z,-43.195,-76.063,33,5,mb,,,,,us,usp0000zr7,2014-11-06T23:21:59.240Z,"off the coast of Los Lagos, Chile",earthquake,,,,,reviewed,us,us
1979-03-29T07:07:22.700Z,32.152,96.961,33,5.8,ms,,,,,us,usp0000zr6,2014-11-06T23:21:59.238Z,"southern Qinghai, China",earthquake,,,,,reviewed,us,us
1979-03-29T05:14:05.600Z,-9.375,-78.845,68,4.9,mb,,,,,us,usp0000zr4,2014-11-06T23:21:59.237Z,"near the coast of northern Peru",earthquake,,,,,reviewed,us,us
1979-03-29T03:02:35.400Z,-11.669,117.017,33,4.8,mb,,,,,us,usp0000zr2,2014-11-06T23:21:59.234Z,"south of Sumbawa, Indonesia",earthquake,,,,,reviewed,us,us
1979-03-29T02:01:33.400Z,42.004,83.406,33,5.9,mb,,,,,us,usp0000zqz,2016-11-09T22:11:15.224Z,"northern Xinjiang, China",earthquake,,,,,reviewed,us,us
1979-03-29T01:41:27.900Z,19.93,-108.817,10,4.6,mb,,,,,us,usp0000zqy,2014-11-06T23:21:59.229Z,"Revilla Gigedo Islands region",earthquake,,,,,reviewed,us,us
1979-03-29T01:11:32.300Z,-24.087,178.545,571,5.4,mb,,,,,us,usp0000zqx,2016-11-09T22:11:14.716Z,"south of the Fiji Islands",earthquake,,,,,reviewed,us,us
1979-03-29T00:56:48.300Z,12.723,95.369,33,4.5,mb,,,,,us,usp0000zqu,2014-11-06T23:21:59.225Z,"Andaman Islands, India region",earthquake,,,,,reviewed,us,us
1979-03-28T23:09:03.500Z,10.961,-86.731,33,4.8,mb,,,,,us,usp0000zqt,2014-11-06T23:21:59.223Z,"off the coast of Costa Rica",earthquake,,,,,reviewed,us,us
1979-03-28T19:56:33.700Z,11.346,124.611,44,5.1,mb,,,,,us,usp0000zqs,2014-11-06T23:21:59.223Z,"Leyte, Philippines",earthquake,,,,,reviewed,us,us
1979-03-28T16:54:24.500Z,5.917,126.15,111,5.1,mb,,,,,us,usp0000zqp,2014-11-06T23:21:59.221Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
1979-03-28T16:16:47.800Z,-11.334,116.902,25,5.3,mb,,,,,us,usp0000zqn,2014-11-06T23:21:59.219Z,"south of Lombok, Indonesia",earthquake,,,,,reviewed,us,us
1979-03-28T13:33:49.000Z,17.144,-101.038,42,4.5,mb,,,,,us,usp0000zqk,2014-11-06T23:21:59.218Z,"offshore Guerrero, Mexico",earthquake,,,,,reviewed,us,us
1979-03-28T13:16:38.500Z,24.9,94.963,33,4.5,mb,,,,,us,usp0000zqj,2014-11-06T23:21:59.216Z,"Myanmar-India border region",earthquake,,,,,reviewed,us,us
1979-03-28T13:02:43.900Z,47.96,23.623,10,4.7,mb,,,,,us,usp0000zqh,2014-11-06T23:21:59.215Z,"Romania",earthquake,,,,,reviewed,us,us
1979-03-28T11:25:09.700Z,19.797,121.41,40,4.7,ms,,,,,us,usp0000zqf,2014-11-06T23:21:59.212Z,"Babuyan Islands region, Philippines",earthquake,,,,,reviewed,us,us
1979-03-28T06:52:47.900Z,-5.667,146.26,113,5,mb,,,,,us,usp0000zqc,2014-11-06T23:21:59.209Z,"eastern New Guinea region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1979-03-28T05:03:15.000Z,6.846,-82.644,33,4.6,mb,,,,,us,usp0000zqb,2014-11-06T23:21:59.204Z,"south of Panama",earthquake,,,,,reviewed,us,us
1979-03-28T04:18:04.800Z,5.992,-73.907,121,4.8,mb,,,,,us,usp0000zqa,2014-11-06T23:21:59.202Z,"Colombia",earthquake,,,,,reviewed,us,us
1979-03-28T01:33:26.900Z,30.899,49.932,33,5.1,mb,,,,,us,usp0000zq8,2016-11-09T22:10:49.962Z,"western Iran",earthquake,,,,,reviewed,us,us
1979-03-27T22:40:20.900Z,-21.223,-173.985,33,5.1,mb,,,,,us,usp0000zq5,2014-11-06T23:21:59.196Z,"Tonga",earthquake,,,,,reviewed,us,us
1979-03-27T20:45:27.000Z,-2.676,129.076,64,4.7,mb,,,,,us,usp0000zq3,2014-11-06T23:21:59.193Z,"Seram, Indonesia",earthquake,,,,,reviewed,us,us
1979-03-27T19:46:37.900Z,-5.256,152.656,66,4.9,mb,,,,,us,usp0000zq2,2014-11-06T23:21:59.192Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1979-03-27T17:57:28.000Z,-5.813,147.01,92,4.7,mb,,,,,us,usp0000zpz,2014-11-06T23:21:59.188Z,"eastern New Guinea region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1979-03-27T11:42:31.100Z,-21.607,-179.041,558,5.3,mb,,,,,us,usp0000zpx,2016-11-09T22:10:28.229Z,"Fiji region",earthquake,,,,,reviewed,us,us
